family,arm,source_revision,epoch,optimizer_updates,train_total_loss,train_bce,train_ddi,dev_jaccard,dev_f1,dev_prauc,dev_nll
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,1,656,0.22888563590692332,0.22362630841945463,0.105186554903479,0.5090833269962799,0.6662134250461391,0.7694237511400501,0.21537399291992188
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,2,1312,0.20646582275631886,0.20102309167885168,0.10885462328040096,0.5263666148915535,0.681301124469755,0.780808950979191,0.20874865353107452
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,3,1968,0.19658825848887676,0.19108994371335947,0.10996629273156122,0.532430334115605,0.6861891417440328,0.7874185089475605,0.20558872818946838
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,4,2624,0.18850744767751149,0.18296339048825816,0.11088114680820203,0.5305501912953196,0.6843517085137285,0.7843794427416945,0.2090711146593094
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,5,3280,0.18120425760842607,0.17560429756578197,0.1119992016498644,0.5267590269577849,0.6816020101770709,0.7764705063193565,0.2153066098690033
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,6,3936,0.17422514003871542,0.16859110324810567,0.11268073195158805,0.5200050392041029,0.6750102983243453,0.7723348217398316,0.22073043882846832
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,7,4592,0.16758388716580813,0.16191721228043246,0.11333349686364949,0.5152739496689344,0.671231294603629,0.7671181132986531,0.22905951738357544
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,8,5248,0.16131115975763177,0.1556017779809002,0.11418763490386477,0.5122687911071081,0.6686081990637586,0.7620742817563562,0.23640942573547363
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,9,5904,0.15547786608291475,0.14973271955030187,0.11490293506265471,0.5041135865630569,0.661409948235946,0.7577142065537132,0.2484993189573288
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,10,6560,0.1498755865663486,0.14409930071677093,0.11552571662786816,0.49984280381121377,0.65738943951197,0.7515432322370366,0.261407732963562
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,11,7216,0.14485021976158996,0.13904806083219728,0.11604317523938978,0.4989095320228764,0.6567713070280347,0.7492816447437213,0.26208415627479553
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,12,7872,0.14020287680585,0.13437673020196922,0.11652293544667887,0.4944064993186133,0.6523768781794594,0.7442959598401798,0.2786761224269867
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,13,8528,0.1358266237188038,0.12997484858306646,0.11703549898697022,0.49565161889468423,0.6537092592040787,0.7431116614493065,0.28830820322036743
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,14,9184,0.13160658589035873,0.12572433128462857,0.11764508904742722,0.4871510959389309,0.6458305570483791,0.7354336436037393,0.30418169498443604
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,15,9840,0.128069601435204,0.12216634799350103,0.1180650716710902,0.4876232592995172,0.6463634628266959,0.7333746166395659,0.3114381730556488
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,16,10496,0.12465178238867076,0.11873701964394473,0.11829525639756482,0.4872613983970976,0.6461649214086427,0.7350279605477099,0.32039937376976013
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,17,11152,0.12144729732438554,0.11550689367539253,0.11880807364614326,0.4870634429233298,0.6459686779640237,0.7337801260647018,0.33202075958251953
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,18,11808,0.1185465493796267,0.11260915336785388,0.11874792256673737,0.482665146914636,0.6417386624248602,0.7301183745856384,0.34735020995140076
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,19,12464,0.1158673628420277,0.1099048175357388,0.11925090865452873,0.4775555687909811,0.636737974232633,0.722484501614631,0.3530333340167999
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,20,13120,0.11304323817685422,0.10706265739665403,0.11961162074958531,0.47583144415667905,0.6354562806662511,0.7220125580009437,0.36605677008628845
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,21,13776,0.11080000371547817,0.10480346738019246,0.11993072660911049,0.4764621262235709,0.6360145971345291,0.7243428007402756,0.369268000125885
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,22,14432,0.10791117563561019,0.10190423477726267,0.12013881613129894,0.4780055263316464,0.6374150109964893,0.7255837377893951,0.37787386775016785
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,23,15088,0.10596109750327329,0.09993736818468324,0.12047458353121818,0.47713762669512505,0.6369165313731097,0.7210302025660138,0.38857635855674744
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,24,15744,0.10400776317953461,0.0979645491443345,0.1208642809384089,0.47739126686230615,0.6371564534002709,0.7231151289969243,0.38526153564453125
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,25,16400,0.10119149292438202,0.0951491349679247,0.12084716006606286,0.474035879074555,0.6338164284565792,0.7200555086680955,0.4101737439632416
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,26,17056,0.09963065108224155,0.09356334842354364,0.1213460503447407,0.4682310453619905,0.6284410026746825,0.7130858289545451,0.43783116340637207
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,27,17712,0.09799273538329784,0.09193014577904833,0.12125179056773958,0.4736389940791653,0.633352230384454,0.7190006288970405,0.4260478913784027
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,28,18368,0.0956405790430175,0.08955726490122243,0.12166628497965695,0.47206517431698697,0.6322445257846658,0.7190411751795358,0.43938419222831726
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,29,19024,0.09447945355417185,0.0883974771556346,0.1216395283472164,0.4682489853348468,0.6282302043563426,0.7136016372854951,0.4302201271057129
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,30,19680,0.09276362325556116,0.08664676681727765,0.12233712808873204,0.47146683832576314,0.631644138724381,0.716977227733533,0.4392186999320984
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,31,20336,0.09141790113553998,0.08531712071606241,0.12201561103479482,0.4719553569046382,0.6320170070704335,0.7162155813803194,0.4598340392112732
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,32,20992,0.08941039275166668,0.08330350616265439,0.12213773064159758,0.4715320121895655,0.6314018328204161,0.7181370232928121,0.4508898854255676
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,33,21648,0.08796130306006546,0.08184088500700866,0.12240836266930787,0.46858458871515546,0.62902604089258,0.7121145178158345,0.48249444365501404
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,34,22304,0.08707319597606834,0.08094197357390763,0.12262444846088433,0.466829170842882,0.6271003788844615,0.7130955541981133,0.4802131950855255
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,35,22960,0.08527068201506123,0.07913033359497856,0.12280697136654255,0.47108177792790745,0.6312190355092856,0.7140159574228057,0.47350722551345825
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,36,23616,0.08432663077379685,0.07817925977484151,0.12294742010057183,0.4690085252159925,0.6294184493314732,0.7138225433089357,0.48139312863349915
mica,SharedPool,cd731bb0abe3dca3ebaa8a3e5346eeff74270f75,37,24272,0.08281905870696066,0.07666193883106381,0.12314239960131512,0.4706834617725959,0.6307826378677301,0.7144455992934913,0.4864504337310791
