baseline,epoch,ddi,jaccard,prauc,precision,recall,f1,avg_med
GAMENet,15,0.08392,0.4658,0.7251,0.5511,0.7665,0.6257,26.8
GAMENet,16,0.08443,0.4682,0.7304,0.5509,0.7728,0.6278,27.0
GAMENet,17,0.08588,0.4719,0.7317,0.5568,0.7717,0.6311,26.63
GAMENet,18,0.08648,0.4749,0.735,0.5593,0.7749,0.634,26.7
GAMENet,19,0.08926,0.4773,0.7387,0.5617,0.7753,0.6361,26.63
GAMENet,20,0.09085,0.4787,0.7408,0.5658,0.7718,0.6376,26.33
GAMENet,21,0.09138,0.4801,0.742,0.568,0.7715,0.639,26.24
GAMENet,22,0.09436,0.4799,0.7439,0.5644,0.7763,0.6386,26.54
GAMENet,23,0.09315,0.4782,0.7453,0.556,0.7876,0.6369,27.39
GAMENet,24,0.09377,0.4798,0.7472,0.558,0.7876,0.6386,27.29
GAMENet,25,0.0955,0.4814,0.7481,0.5587,0.7898,0.6402,27.42
GAMENet,26,0.09278,0.4824,0.7499,0.5581,0.7933,0.6409,27.49
GAMENet,27,0.09261,0.4834,0.7514,0.557,0.7978,0.642,27.74
GAMENet,28,0.09428,0.4858,0.7529,0.5607,0.7966,0.6441,27.49
GAMENet,29,0.09261,0.4873,0.7541,0.5617,0.7983,0.6457,27.51
GAMENet,30,0.08999,0.4893,0.7555,0.5627,0.8013,0.6473,27.56
GAMENet,31,0.09077,0.4916,0.7569,0.5663,0.7999,0.6496,27.35
GAMENet,32,0.09061,0.4921,0.7582,0.5659,0.8018,0.65,27.42
GAMENet,33,0.08882,0.4921,0.7602,0.563,0.8076,0.65,27.76
GAMENet,34,0.08971,0.4926,0.7615,0.5634,0.8079,0.6504,27.78
GAMENet,35,0.08915,0.4946,0.7627,0.5665,0.807,0.6522,27.58
GAMENet,36,0.08877,0.4936,0.7635,0.5618,0.814,0.6513,28.08
GAMENet,37,0.08788,0.4969,0.7647,0.5676,0.8104,0.6543,27.65
GAMENet,38,0.08731,0.4942,0.7651,0.5618,0.8156,0.6519,28.16
GAMENet,39,0.08691,0.4974,0.7661,0.5667,0.8137,0.6548,27.88
GAMENet,40,0.08621,0.4973,0.7666,0.5669,0.8132,0.6547,27.84
GAMENet,41,0.08618,0.4975,0.7674,0.5645,0.8182,0.6549,28.15
GAMENet,42,0.08683,0.4997,0.7679,0.5691,0.8146,0.6569,27.82
GAMENet,43,0.08554,0.4983,0.7683,0.5659,0.8173,0.6556,28.06
GAMENet,44,0.08586,0.498,0.7687,0.5649,0.8185,0.6554,28.15
GAMENet,45,0.0845,0.498,0.7684,0.5639,0.8205,0.6554,28.29
GAMENet,46,0.08606,0.5017,0.7692,0.5707,0.8163,0.6587,27.79
